,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
141,1,0,0.01439299972498372,-9.2154877165242,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,4
142,1,7,0.06628862889726031,-7.575202989118904,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
143,1,5,0.025588036315186833,-8.996388953685305,2,其他,63.0,3969.0,0,0,0,1,0,0,0,4
144,1,1,0.06525675640619713,-7.083708769674601,4,二线城市,85.0,7225.0,0,1,0,0,0,1,0,4
145,1,0,0.0,-9.242136063407457,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
146,0,0,0.0,-10.44422326513496,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
147,1,5,0.01356678435678772,-7.329455879396752,5,一线城市,79.0,6241.0,1,0,0,0,0,0,1,4
148,1,1,0.08564568723206642,-9.487883173129608,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
149,0,0,0.0,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
150,1,2,0.6931471805599453,-8.996388953685305,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
151,0,0,0.0,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
152,1,0,0.007604187297922538,-8.996388953685305,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
153,1,0,0.02857033587194512,-10.44422326513496,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
154,1,40,0.05994771743872907,-0.6959906030948977,5,其他,65.0,4225.0,0,0,0,0,0,0,1,4
155,1,0,0.01870752906406051,-9.487883173129608,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
156,0,0,0.2255689594527377,-10.198476155412811,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
157,1,17,0.014934976919228937,-8.996388953685305,2,一线城市,255.0,65025.0,1,0,0,1,0,0,0,4
158,1,11,0.02409839079673304,-8.723993497079894,5,一线城市,226.0,51076.0,1,0,0,0,0,0,1,4
159,1,0,0.006729005142473838,-9.461234826246352,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
160,0,0,0.0,-10.44422326513496,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
161,1,0,0.06706758834149172,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
162,0,0,0.0,-10.44422326513496,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
163,1,0,0.0,-9.952729045690658,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
164,1,0,0.0,-9.794545650587374,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
165,1,1,0.021365704670841052,-7.784597439208994,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
166,0,0,0.0,-10.198476155412811,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
167,1,0,0.033334046194296106,-8.592458448859867,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
168,0,0,0.0,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
169,1,3,0.10542713552986094,-9.2154877165242,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
170,1,5,0.03640518285364525,-10.44422326513496,2,其他,76.0,5776.0,0,0,0,1,0,0,0,4
171,1,0,0.0011751813121439936,-7.670385377706871,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
172,1,0,0.0,-9.487883173129608,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
173,1,0,0.0,-9.2154877165242,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
174,1,3,0.1417534097566289,-3.896236064672265,4,一线城市,102.0,10404.0,1,0,0,0,0,1,0,4
175,1,3,0.13943138899241017,-9.706981935968503,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
176,0,2,0.04858208399483094,-5.248887987533959,4,二线城市,87.0,7569.0,0,1,0,0,0,1,0,4
